Test,State,Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other
CSP,Delaware,2017,134,93,69.4,10,4,40,7.46,6,2,33.33,4.48,29,22,75.86,21.64,77,55,71.43,57.46,0,0,0,0,0,0,0,0,11,9,81.82,8.21,0,0,0,0,33,26,78.79,24.63,3,0,0,2.24,1,0,0,0.75,8,8,100,5.97,18,14,77.78,13.43,0,0,0,0,0,0,0,0,3,0,0,2.24,0,0,0,0,101,67,66.34,75.37,7,2,28.57,5.22,5,2,40,3.73,21,14,66.67,15.67,59,41,69.49,44.03,0,0,0,0,0,0,0,0,8,7,87.5,5.97,0,0,0,0
CSP,Delaware,2018,224,164,73.21,21,14,66.67,9.38,20,11,55,8.93,45,37,82.22,20.09,115,88,76.52,51.34,0,0,0,0,1,0,0,0.45,17,11,64.71,7.59,0,0,0,0,57,51,89.47,25.45,8,6,75,3.57,2,0,0,0.89,16,16,100,7.14,26,23,88.46,11.61,0,0,0,0,0,0,0,0,5,5,100,2.23,0,0,0,0,167,113,67.66,74.55,13,8,61.54,5.8,18,10,55.56,8.04,29,21,72.41,12.95,89,65,73.03,39.73,0,0,0,0,1,0,0,0.45,12,6,50,5.36,0,0,0,0
CSP,Delaware,2019,236,144,61.02,29,10,34.48,12.29,19,10,52.63,8.05,49,32,65.31,20.76,115,79,68.7,48.73,0,0,0,0,3,0,0,1.27,20,12,60,8.47,0,0,0,0,68,47,69.12,28.81,8,3,37.5,3.39,9,5,55.56,3.81,19,14,73.68,8.05,26,22,84.62,11.02,0,0,0,0,0,0,0,0,6,3,50,2.54,0,0,0,0,168,97,57.74,71.19,21,7,33.33,8.9,10,5,50,4.24,30,18,60,12.71,89,57,64.04,37.71,0,0,0,0,3,0,0,1.27,14,9,64.29,5.93,0,0,0,0
CSP,Connecticut,2017,889,743,83.58,51,32,62.75,5.74,85,54,63.53,9.56,174,152,87.36,19.57,532,468,87.97,59.84,0,0,0,0,2,0,0,0.22,35,26,74.29,3.94,0,0,0,0,273,220,80.59,30.71,16,9,56.25,1.8,28,17,60.71,3.15,54,42,77.78,6.07,161,142,88.2,18.11,0,0,0,0,0,0,0,0,11,7,63.64,1.24,0,0,0,0,616,523,84.9,69.29,35,23,65.71,3.94,57,37,64.91,6.41,120,110,91.67,13.5,371,326,87.87,41.73,0,0,0,0,2,0,0,0.22,24,19,79.17,2.7,0,0,0,0
CSP,Connecticut,2018,1295,986,76.14,79,20,25.32,6.1,164,86,52.44,12.66,212,173,81.6,16.37,742,633,85.31,57.3,1,0,0,0.08,1,0,0,0.08,60,45,75,4.63,0,0,0,0,416,300,72.12,32.12,33,6,18.18,2.55,50,24,48,3.86,61,47,77.05,4.71,236,196,83.05,18.22,0,0,0,0,0,0,0,0,22,16,72.73,1.7,0,0,0,0,879,686,78.04,67.88,46,14,30.43,3.55,114,62,54.39,8.8,151,126,83.44,11.66,506,437,86.36,39.07,1,0,0,0.08,1,0,0,0.08,38,29,76.32,2.93,0,0,0,0
CSP,Connecticut,2019,1929,1529,79.26,120,60,50,6.22,231,128,55.41,11.98,355,295,83.1,18.4,1108,950,85.74,57.44,1,0,0,0.05,1,0,0,0.05,69,59,85.51,3.58,0,0,0,0,615,490,79.67,31.88,52,27,51.92,2.7,69,33,47.83,3.58,146,126,86.3,7.57,306,268,87.58,15.86,1,0,0,0.05,1,0,0,0.05,25,21,84,1.3,0,0,0,0,1314,1039,79.07,68.12,68,33,48.53,3.53,162,95,58.64,8.4,209,169,80.86,10.83,802,682,85.04,41.58,0,0,0,0,0,0,0,0,44,38,86.36,2.28,0,0,0,0
CSP,Colorado,2017,577,438,75.91,18,6,33.33,3.12,105,51,48.57,18.2,44,35,79.55,7.63,368,316,85.87,63.78,3,0,0,0.52,4,0,0,0.69,25,19,76,4.33,0,0,0,0,119,92,77.31,20.62,6,2,33.33,1.04,26,12,46.15,4.51,18,14,77.78,3.12,56,52,92.86,9.71,1,0,0,0.17,2,0,0,0.35,7,7,100,1.21,0,0,0,0,458,346,75.55,79.38,12,4,33.33,2.08,79,39,49.37,13.69,26,21,80.77,4.51,312,264,84.62,54.07,2,0,0,0.35,2,0,0,0.35,18,12,66.67,3.12,0,0,0,0
CSP,Colorado,2018,1128,855,75.8,34,15,44.12,3.01,224,131,58.48,19.86,109,89,81.65,9.66,680,560,82.35,60.28,2,0,0,0.18,4,0,0,0.35,54,42,77.78,4.79,0,0,0,0,303,227,74.92,26.86,7,2,28.57,0.62,68,38,55.88,6.03,36,30,83.33,3.19,170,139,81.76,15.07,1,0,0,0.09,1,0,0,0.09,17,14,82.35,1.51,0,0,0,0,825,628,76.12,73.14,27,13,48.15,2.39,156,93,59.62,13.83,73,59,80.82,6.47,510,421,82.55,45.21,1,0,0,0.09,3,0,0,0.27,37,28,75.68,3.28,0,0,0,0
CSP,Colorado,2019,1414,1047,74.05,29,17,58.62,2.05,322,169,52.48,22.77,124,107,86.29,8.77,854,692,81.03,60.4,0,0,0,0,9,5,55.56,0.64,55,45,81.82,3.89,0,0,0,0,413,286,69.25,29.21,12,6,50,0.85,110,53,48.18,7.78,43,38,88.37,3.04,226,172,76.11,15.98,0,0,0,0,0,0,0,0,16,14,87.5,1.13,0,0,0,0,1001,761,76.02,70.79,17,11,64.71,1.2,212,116,54.72,14.99,81,69,85.19,5.73,628,520,82.8,44.41,0,0,0,0,9,5,55.56,0.64,39,31,79.49,2.76,0,0,0,0
CSP,California,2017,8560,6262,73.15,207,104,50.24,2.42,2677,1384,51.7,31.27,2917,2444,83.78,34.08,2126,1818,85.51,24.84,23,15,65.22,0.27,13,10,76.92,0.15,418,343,82.06,4.88,2,0,0,0.02,2739,1927,70.35,32,81,41,50.62,0.95,879,401,45.62,10.27,1025,857,83.61,11.97,544,456,83.82,6.36,9,6,66.67,0.11,7,6,85.71,0.08,135,114,84.44,1.58,1,0,0,0.01,5821,4335,74.47,68,126,63,50,1.47,1798,983,54.67,21,1892,1587,83.88,22.1,1582,1362,86.09,18.48,14,9,64.29,0.16,6,4,66.67,0.07,283,229,80.92,3.31,1,0,0,0.01
